advertiser_id, site_id, date      , campaign_id, campaign_name          , acos  , advertising_items_quantity, clicks, cost  , cpc , cvr  , direct_amount, direct_items_quantity, direct_units_quantity, indirect_amount, indirect_items_quantity, indirect_units_quantity, organic_items_quantity, organic_units_amount, organic_units_quantity, prints, roas , sov   , total_amount, units_quantity
       731958, MLB    , 2025-07-26,   353235970, VNZK01_PRODUCT-ADS_PERF,  10.83,                          3,     55, 127.0 , 2.31,  5.45,       1173.0 ,                     3,                     3,            0.0 ,                       0,                       0,                      1,                697.0,                      1,  30608,  9.24,  75.0 ,      1173.0 ,              3
       731958, MLB    , 2025-07-27,   353235970, VNZK01_PRODUCT-ADS_PERF,   7.37,                          6,     64, 127.0 , 1.98,  9.38,       1291.0 ,                     3,                     3,          432.8 ,                       3,                       3,                      0,                  0.0,                      0,  29782, 13.57, 100.0 ,      1723.8 ,              6
       731958, MLB    , 2025-07-28,   353235970, VNZK01_PRODUCT-ADS_PERF,  15.38,                          2,     78, 222.0 , 2.85,  2.56,       1443.9 ,                     2,                     2,            0.0 ,                       0,                       0,                      4,               2372.0,                      6,  35751,  6.5 ,  33.33,      1443.9 ,              2
       731958, MLB    , 2025-07-29,   353235970, VNZK01_PRODUCT-ADS_PERF,  37.37,                          2,     96, 222.0 , 2.31,  2.08,        594.0 ,                     2,                     2,            0.0 ,                       0,                       0,                      4,               1638.0,                      4,  66734,  2.68,  33.33,       594.0 ,              2
       731958, MLB    , 2025-07-30,   353235970, VNZK01_PRODUCT-ADS_PERF,   8.58,                          5,    114, 222.0 , 1.95,  4.39,       2587.0 ,                     5,                     5,            0.0 ,                       0,                       0,                      3,               1573.0,                      3, 100414, 11.65,  62.5 ,      2587.0 ,              5
       731958, MLB    , 2025-07-31,   353235970, VNZK01_PRODUCT-ADS_PERF,  44.94,                          2,    152, 222.0 , 1.46,  1.32,        297.0 ,                     1,                     1,          197.0 ,                       1,                       1,                      2,                794.0,                      2,  73627,  2.23,  50.0 ,       494.0 ,              2
       731958, MLB    , 2025-08-01,   353235970, VNZK01_PRODUCT-ADS_PERF,   5.81,                          5,    170, 222.0 , 1.31,  5.88,       2928.9 ,                     4,                     7,          891.0 ,                       1,                       3,                      6,               2432.0,                      6,  48139, 17.21,  45.45,      3819.9 ,             10
       731958, MLB    , 2025-08-02,   353235970, VNZK01_PRODUCT-ADS_PERF,  13.21,                          4,    150, 222.0 , 1.48,  2.67,       1622.9 ,                     3,                     3,           57.9 ,                       1,                       1,                      1,                697.0,                      1,  34328,  7.57,  80.0 ,      1680.8 ,              4
       731958, MLB    , 2025-08-03,   353235970, VNZK01_PRODUCT-ADS_PERF,  12.95,                          5,     96, 222.0 , 2.31,  6.25,       1290.0 ,                     3,                     4,          423.9 ,                       2,                       2,                      8,               5320.0,                     10,  14735,  7.72,  38.46,      1713.9 ,              6
       731958, MLB    , 2025-08-04,   353235970, VNZK01_PRODUCT-ADS_PERF,  24.92,                          3,     86, 222.0 , 2.58,  3.49,        891.0 ,                     3,                     3,            0.0 ,                       0,                       0,                      1,                297.0,                      1,  65870,  4.01,  75.0 ,       891.0 ,              3
