id,date_created,status,total_amount,currency_id,buyer_id
2000011973382346,2025-06-16T12:41:22.000-04:00,paid,67,BRL,2215880880
2000011998609156,2025-06-18T13:17:45.000-04:00,paid,594,BRL,35738201
2000012077494262,2025-06-25T21:23:40.000-04:00,cancelled,697,BRL,49148254
2000012102830304,2025-06-28T10:29:02.000-04:00,paid,297,BRL,178764929
2000012107307702,2025-06-28T18:46:57.000-04:00,paid,697,BRL,229469159
2000012118725776,2025-06-29T23:01:08.000-04:00,paid,697,BRL,1829397162
2000012129611302,2025-06-30T19:47:26.000-04:00,paid,297,BRL,329951985
2000012139253330,2025-07-01T14:49:58.000-04:00,paid,87,BRL,346603167
2000012150994740,2025-07-02T11:49:12.000-04:00,paid,29.9,BRL,34381846
2000012150995650,2025-07-02T11:50:28.000-04:00,paid,29.9,BRL,178216596
2000012163977250,2025-07-03T11:02:02.000-04:00,paid,697,BRL,292654386
2000012171471502,2025-07-03T20:59:24.000-04:00,paid,697,BRL,180714085
2000012174131252,2025-07-04T06:33:33.000-04:00,paid,697,BRL,26750927
2000012179509700,2025-07-04T15:23:14.000-04:00,cancelled,697,BRL,15008167
2000012181553858,2025-07-04T18:30:41.000-04:00,paid,97,BRL,1101219504
2000012185547296,2025-07-05T06:52:37.000-04:00,cancelled,697,BRL,166588390
2000012186500642,2025-07-05T09:33:58.000-04:00,paid,697,BRL,15008167
2000012186977506,2025-07-05T10:27:10.000-04:00,paid,297,BRL,265498498
2000012188004944,2025-07-05T12:12:03.000-04:00,paid,297,BRL,166624898
2000012193450840,2025-07-05T21:42:31.000-04:00,paid,197,BRL,180635521
2000012196106006,2025-07-06T10:12:22.000-04:00,paid,697,BRL,229716986
2000012197521850,2025-07-06T12:38:23.000-04:00,paid,697,BRL,48677185
2000012198864742,2025-07-06T14:50:14.000-04:00,cancelled,297,BRL,649595405
2000012212172900,2025-07-07T14:50:53.000-04:00,cancelled,647,BRL,5901381
2000012216240708,2025-07-07T19:07:09.000-04:00,paid,126.9,BRL,1592213715
2000012217150410,2025-07-07T19:59:34.000-04:00,paid,126.9,BRL,27512326
2000012225706520,2025-07-08T13:03:28.000-04:00,paid,297,BRL,95427237
2000012226051594,2025-07-08T13:29:47.000-04:00,paid,297,BRL,25541598
2000012226053424,2025-07-08T13:29:47.000-04:00,paid,179,BRL,25541598
2000012226807344,2025-07-08T14:27:48.000-04:00,paid,197,BRL,227042872
2000012226810982,2025-07-08T14:27:48.000-04:00,paid,697,BRL,227042872
2000012229477950,2025-07-08T18:10:02.000-04:00,paid,697,BRL,737342463
2000012234585420,2025-07-09T07:27:09.000-04:00,paid,126.9,BRL,172290886
2000012235135348,2025-07-09T08:45:39.000-04:00,paid,297,BRL,253567835
2000012237696618,2025-07-09T12:23:55.000-04:00,paid,297,BRL,67822683
2000012239366156,2025-07-09T14:36:13.000-04:00,partially_refunded,194,BRL,1010436389
2000012241943364,2025-07-09T18:07:33.000-04:00,paid,115.8,BRL,735792454
2000012246442880,2025-07-10T02:24:24.000-04:00,paid,891,BRL,130961835
2000012249102930,2025-07-10T10:41:16.000-04:00,paid,115.8,BRL,419809152
2000012250433992,2025-07-10T12:26:15.000-04:00,paid,179,BRL,193750344
2000012251444912,2025-07-10T13:42:06.000-04:00,paid,297,BRL,586614284
2000012253060994,2025-07-10T15:54:08.000-04:00,paid,197,BRL,109703697
2000012253809568,2025-07-10T16:58:17.000-04:00,paid,97,BRL,1568213976
2000012259555996,2025-07-11T07:24:35.000-04:00,paid,194,BRL,577196037
2000012263211576,2025-07-11T13:20:02.000-04:00,paid,394,BRL,298933027
2000012247797086,2025-07-10T08:48:36.000-04:00,paid,697,BRL,125019125
2000012267328780,2025-07-11T19:50:40.000-04:00,paid,647,BRL,122473900
2000012270653454,2025-07-12T08:39:51.000-04:00,paid,277,BRL,152615741
2000012275252042,2025-07-12T17:13:09.000-04:00,paid,297,BRL,490636617
2000012295051030,2025-07-14T16:02:30.000-04:00,paid,194,BRL,238926423
2000012295604050,2025-07-14T16:41:54.000-04:00,paid,697,BRL,183400519
